arabic,english,method
أدم,WILAYAT ADAM,dict
إزكي,WILAYAT IZKI,dict
ابراء,WILAYAT IBRA,dict
البريمي,WILAYAT AL BURAYMI,dict+fuzzy
الجازر,WILAYAT AL JAZIR,dict
الحمراء,WILAYAT AL HAMRA,dict
الخابورة,WILAYAT AL KHABURAH,dict
الدقم,WILAYAT AD DUQM,dict
الرستاق,WILAYAT AR RUSTAQ,dict
السويق,WILAYAT AS SUWAYQ,dict
السيب,WILAYAT AS SEEB,dict
العامرات,WILAYAT AL AMRAT,dict+fuzzy
العوابي,WILAYAT AL AWABI,dict
القابل,WILAYAT AL QABIL,dict
الكامل والوافي,WILAYAT AL KAMIL WA AL WAFI,dict+fuzzy
المزيونة,WILAYAT AL MAZYUNAH,dict+fuzzy
المصنعة,WILAYAT AL MUSANAAH,dict+fuzzy
المضيبي,WILAYAT AL MUDAYBI,dict
بخا,WILAYAT BUKHA,dict
بدبد,WILAYAT BIDBID,dict
بدية,WILAYAT BIDIYAH,dict+fuzzy
بركاء,WILAYAT BARKA,dict
بهلاء,WILAYAT BAHLA,dict
بوشر,WILAYAT BAWSHAR,dict
ثمريت,WILAYAT THUMRAYT,dict
جعلان بنى بوحسن,WILAYAT JAALAN BANI BU HASAN,dict+fuzzy
جعلان بنى بوعلى,WILAYAT JAALAN BANI BU ALI,dict+fuzzy
خصب,WILAYAT KHASAB,dict
دبا البيعة,WILAYAT IBRA,dict+fuzzy
دماء والطائيين,WILAYAT DAMA WA AT TAIYIN,dict+fuzzy
رخيوت,WILAYAT RAKHYUT,dict
سدح,WILAYAT SADAH,dict
سمائل,WILAYAT SAMAIL,dict
سناو,WILAYAT SHINAS,dict+fuzzy
شليم وجزر الحلانيات,WILAYAT SHALIM WA JUZOR AL HALLANIYAT,dict+fuzzy
شناص,WILAYAT SHINAS,dict
صحار,WILAYAT SOHAR,dict
صحم,WILAYAT SAHAM,dict
صلالة,WILAYAT SALALAH,dict
صور,WILAYAT SUR,dict
ضلكوت,WILAYAT DALKUT,dict+fuzzy
ضنك,WILAYAT DANK,dict+fuzzy
طاقة,WILAYAT TAQAH,dict
عبري,WILAYAT IBRI,dict
قريات,WILAYAT QURAYYAT,dict
لوى,WILAYAT LIWA,dict
محضة,WILAYAT MAHADAH,dict+fuzzy
محوت,WILAYAT MAHAWT,dict
مدحا,WILAYAT MADHA,dict
مرباط,WILAYAT MIRBAT,dict
مسقط,WILAYAT MUSCAT,dict
مصيرة,WILAYAT MASIRAH,dict
مطرح,WILAYAT MUTRAH,dict
مقشن,WILAYAT MUQSHIN,dict
منح,WILAYAT MANAH,dict
نخل,WILAYAT NAKHAL,dict
نزوى,WILAYAT NIZWA,dict
هيماء,WILAYAT HAYMA,dict+fuzzy
وادى بنى خالد,WILAYAT WADI BANI KHALID,dict
وادي المعاول,WILAYAT WADI AL MAAWIL,dict+fuzzy
ينقل,WILAYAT YANQUL,dict
